接入单位,起始IP,终止IP
中国电信集团有限公司,14.22.78.34,14.22.78.34
中国电信集团有限公司,121.229.107.204,121.229.107.204
中国电信集团有限公司,14.22.77.133,14.22.77.133
中国电信集团有限公司,221.229.0.27,221.229.0.27
中国电信集团有限公司,14.22.83.227,14.22.83.227
中国电信集团有限公司,221.229.106.51,221.229.106.51
中国电信集团有限公司,14.22.86.142,14.22.86.142
中国电信集团有限公司,121.229.160.117,121.229.160.117
中国电信集团有限公司,14.22.84.72,14.22.84.72
中国电信集团有限公司,117.89.29.253,117.89.29.253
中国电信集团有限公司,14.22.85.111,14.22.85.111
中国电信集团有限公司,117.89.250.107,117.89.250.107
中国电信集团有限公司,14.22.72.52,14.22.72.52
中国电信集团有限公司,221.229.4.160,221.229.4.160
中国电信集团有限公司,14.22.86.24,14.22.86.24
中国电信集团有限公司,221.229.4.124,221.229.4.124
中国电信集团有限公司,14.22.78.43,14.22.78.43
中国电信集团有限公司,121.229.160.201,121.229.160.201
中国电信集团有限公司,14.22.75.154,14.22.75.154
中国电信集团有限公司,117.89.29.20,117.89.29.20
中国电信集团有限公司,14.22.113.137,14.22.113.137
中国电信集团有限公司,121.229.70.161,121.229.70.161
中国电信集团有限公司,14.22.74.235,14.22.74.235
中国电信集团有限公司,117.89.85.224,117.89.85.224
中国电信集团有限公司,14.22.85.188,14.22.85.188
中国电信集团有限公司,221.229.101.48,221.229.101.48
中国电信集团有限公司,14.22.81.215,14.22.81.215
中国电信集团有限公司,121.229.107.199,121.229.107.199
中国电信集团有限公司,14.22.74.125,14.22.74.125
中国电信集团有限公司,221.229.92.208,221.229.92.208
中国电信集团有限公司,14.22.85.162,14.22.85.162
中国电信集团有限公司,117.89.29.23,117.89.29.23
中国电信集团有限公司,14.22.87.156,14.22.87.156
中国电信集团有限公司,221.229.99.31,221.229.99.31
中国电信集团有限公司,14.22.72.116,14.22.72.116
中国电信集团有限公司,121.229.160.237,121.229.160.237
中国电信集团有限公司,14.22.74.124,14.22.74.124
中国电信集团有限公司,117.88.69.86,117.88.69.86
中国电信集团有限公司,14.22.89.167,14.22.89.167
中国电信集团有限公司,121.229.113.208,121.229.113.208
中国电信集团有限公司,14.22.75.186,14.22.75.186
中国电信集团有限公司,121.229.113.113,121.229.113.113
中国电信集团有限公司,14.22.77.203,14.22.77.203
中国电信集团有限公司,117.89.29.218,117.89.29.218
中国电信集团有限公司,14.22.83.126,14.22.83.126
中国电信集团有限公司,117.89.29.235,117.89.29.235
中国电信集团有限公司,14.22.73.230,14.22.73.230
中国电信集团有限公司,221.229.106.183,221.229.106.183
中国电信集团有限公司,14.22.74.151,14.22.74.151
中国电信集团有限公司,221.229.4.145,221.229.4.145
中国电信集团有限公司,14.22.86.97,14.22.86.97
中国电信集团有限公司,117.88.244.15,117.88.244.15
中国电信集团有限公司,14.22.83.81,14.22.83.81
中国电信集团有限公司,117.88.244.245,117.88.244.245
中国电信集团有限公司,219.151.184.33,219.151.184.33
中国电信集团有限公司,121.225.97.127,121.225.97.127
中国电信集团有限公司,219.151.181.33,219.151.181.33
中国电信集团有限公司,121.229.70.228,121.229.70.228
中国电信集团有限公司,219.151.181.225,219.151.181.225
中国电信集团有限公司,221.229.106.52,221.229.106.52
中国电信集团有限公司,219.151.184.53,219.151.184.53
中国电信集团有限公司,121.229.172.21,121.229.172.21
中国电信集团有限公司,219.151.183.139,219.151.183.139
中国电信集团有限公司,218.91.114.25,218.91.114.25
中国电信集团有限公司,219.151.181.102,219.151.181.102
中国电信集团有限公司,121.229.168.233,121.229.168.233
中国电信集团有限公司,113.249.103.3,113.249.103.3
中国电信集团有限公司,121.229.177.2,121.229.177.2
中国电信集团有限公司,219.151.184.121,219.151.184.121
中国电信集团有限公司,117.88.69.175,117.88.69.175
中国电信集团有限公司,219.151.191.52,219.151.191.52
中国电信集团有限公司,117.89.85.134,117.89.85.134
中国电信集团有限公司,219.151.179.125,219.151.179.125
中国电信集团有限公司,121.229.177.36,121.229.177.36
中国电信集团有限公司,219.151.188.60,219.151.188.60
中国电信集团有限公司,221.229.103.135,221.229.103.135
中国电信集团有限公司,219.151.190.179,219.151.190.179
中国电信集团有限公司,221.229.106.53,221.229.106.53
中国电信集团有限公司,113.249.101.6,113.249.101.6
中国电信集团有限公司,121.229.168.40,121.229.168.40
中国电信集团有限公司,219.151.179.134,219.151.179.134
中国电信集团有限公司,221.229.103.151,221.229.103.151
中国电信集团有限公司,219.151.184.221,219.151.184.221
中国电信集团有限公司,121.229.70.185,121.229.70.185
中国电信集团有限公司,219.151.184.223,219.151.184.223
中国电信集团有限公司,121.229.70.42,121.229.70.42
中国电信集团有限公司,219.151.182.166,219.151.182.166
中国电信集团有限公司,121.229.145.88,121.229.145.88
中国电信集团有限公司,219.151.182.123,219.151.182.123
中国电信集团有限公司,218.91.114.189,218.91.114.189
中国电信集团有限公司,219.151.183.4,219.151.183.4
中国电信集团有限公司,121.229.107.80,121.229.107.80
中国电信集团有限公司,219.151.191.53,219.151.191.53
中国电信集团有限公司,117.89.254.222,117.89.254.222
中国电信集团有限公司,219.151.182.164,219.151.182.164
中国电信集团有限公司,221.229.106.50,221.229.106.50
中国电信集团有限公司,219.151.176.68,219.151.176.68
中国电信集团有限公司,221.229.0.178,221.229.0.178
中国电信集团有限公司,113.249.101.178,113.249.101.178
中国电信集团有限公司,117.89.250.129,117.89.250.129
中国电信集团有限公司,219.151.184.222,219.151.184.222
中国电信集团有限公司,117.89.254.57,117.89.254.57
中国电信集团有限公司,113.249.101.18,113.249.101.18
中国电信集团有限公司,117.89.254.6,117.89.254.6
中国电信集团有限公司,219.151.182.51,219.151.182.51
中国电信集团有限公司,203.83.238.186,203.83.238.186
中国电信集团有限公司,219.151.182.68,219.151.182.68
中国电信集团有限公司,203.83.228.222,203.83.228.222
中国电信集团有限公司,219.151.188.57,219.151.188.57
中国电信集团有限公司,203.83.234.13,203.83.234.13
中国电信集团有限公司,219.151.184.236,219.151.184.236
中国电信集团有限公司,36.111.149.44,36.111.149.44
中国电信集团有限公司,219.151.182.71,219.151.182.71
中国电信集团有限公司,203.83.238.149,203.83.238.149
中国电信集团有限公司,219.151.181.57,219.151.181.57
中国电信集团有限公司,203.83.235.98,203.83.235.98
中国电信集团有限公司,219.151.191.81,219.151.191.81
中国电信集团有限公司,203.176.92.131,203.176.92.131
中国电信集团有限公司,219.151.182.101,219.151.182.101
中国电信集团有限公司,203.176.94.239,203.176.94.239
中国电信集团有限公司,219.151.182.74,219.151.182.74
中国电信集团有限公司,182.42.156.141,182.42.156.141
中国电信集团有限公司,219.151.191.64,219.151.191.64
中国电信集团有限公司,36.111.149.190,36.111.149.190
中国电信集团有限公司,219.151.182.16,219.151.182.16
中国电信集团有限公司,36.111.148.45,36.111.148.45
中国电信集团有限公司,219.151.188.93,219.151.188.93
中国电信集团有限公司,203.83.234.86,203.83.234.86
中国电信集团有限公司,219.151.187.172,219.151.187.172
中国电信集团有限公司,203.83.238.41,203.83.238.41
中国电信集团有限公司,219.151.178.64,219.151.178.64
中国电信集团有限公司,203.83.235.125,203.83.235.125
中国电信集团有限公司,219.151.178.255,219.151.178.255
中国电信集团有限公司,203.83.239.102,203.83.239.102
中国电信集团有限公司,219.151.178.45,219.151.178.45
中国电信集团有限公司,203.83.238.47,203.83.238.47
中国电信集团有限公司,219.151.180.90,219.151.180.90
中国电信集团有限公司,182.42.82.198,182.42.82.198
中国电信集团有限公司,219.151.185.55,219.151.185.55
中国电信集团有限公司,203.176.92.232,203.176.92.232
中国电信集团有限公司,219.151.182.165,219.151.182.165
中国电信集团有限公司,203.83.238.96,203.83.238.96
中国电信集团有限公司,113.249.102.84,113.249.102.84
中国电信集团有限公司,182.42.121.34,182.42.121.34
中国电信集团有限公司,219.151.182.95,219.151.182.95
中国电信集团有限公司,150.223.192.73,150.223.192.73
中国电信集团有限公司,219.151.182.84,219.151.182.84
中国电信集团有限公司,203.83.238.99,203.83.238.99
中国电信集团有限公司,219.151.181.71,219.151.181.71
中国电信集团有限公司,36.111.149.160,36.111.149.160
中国电信集团有限公司,219.151.182.118,219.151.182.118
中国电信集团有限公司,203.83.232.140,203.83.232.140
中国电信集团有限公司,219.151.191.187,219.151.191.187
中国电信集团有限公司,36.111.151.41,36.111.151.41
中国电信集团有限公司,219.151.189.67,219.151.189.67
中国电信集团有限公司,150.223.193.53,150.223.193.53
中国电信集团有限公司,219.151.180.175,219.151.180.175
中国电信集团有限公司,182.42.125.205,182.42.125.205
中国电信集团有限公司,219.151.184.52,219.151.184.52
中国电信集团有限公司,203.83.234.151,203.83.234.151
中国电信集团有限公司,219.151.188.239,219.151.188.239
中国电信集团有限公司,150.223.194.105,150.223.194.105
中国电信集团有限公司,219.151.188.87,219.151.188.87
中国电信集团有限公司,203.83.236.77,203.83.236.77
中国电信集团有限公司,219.151.188.185,219.151.188.185
中国电信集团有限公司,203.83.238.38,203.83.238.38
中国电信集团有限公司,180.125.216.84,180.125.216.84
中国电信集团有限公司,182.42.93.169,182.42.93.169
中国电信集团有限公司,114.217.11.90,114.217.11.90
中国电信集团有限公司,203.83.235.28,203.83.235.28
中国电信集团有限公司,175.12.105.104,175.12.105.220
中国电信集团有限公司,49.64.242.81,49.64.242.81
中国电信集团有限公司,203.83.228.9,203.83.228.9
中国电信集团有限公司,175.12.105.0,175.12.105.102
中国电信集团有限公司,180.100.206.221,180.100.206.221
中国电信集团有限公司,203.176.93.58,203.176.93.58
中国电信集团有限公司,175.12.109.0,175.12.109.255
中国电信集团有限公司,114.217.9.179,114.217.9.179
中国电信集团有限公司,203.176.93.181,203.176.93.181
中国电信集团有限公司,117.68.126.10,117.68.126.12
中国电信集团有限公司,58.209.83.169,58.209.83.169
中国电信集团有限公司,203.83.237.110,203.83.237.110
中国电信集团有限公司,125.122.36.177,125.122.36.177
中国电信集团有限公司,117.83.152.143,117.83.152.143
中国电信集团有限公司,203.83.236.160,203.83.236.160
中国电信集团有限公司,125.122.32.1,125.122.32.1
中国电信集团有限公司,114.217.21.238,114.217.21.238
中国电信集团有限公司,150.223.196.15,150.223.196.15
中国电信集团有限公司,175.12.106.91,175.12.106.91
中国电信集团有限公司,114.220.179.65,114.220.179.65
中国电信集团有限公司,175.12.106.90,175.12.106.90
中国电信集团有限公司,117.68.126.13,117.68.126.13
中国电信集团有限公司,117.68.126.9,117.68.126.9
中国电信集团有限公司,117.68.126.8,117.68.126.8
中国电信集团有限公司,175.12.106.70,175.12.106.70
中国电信集团有限公司,240e:930:8200:300::,240e:930:8200:300:ffff:ffff:ffff:ffff
中国电信集团有限公司,117.68.126.0,117.68.126.7
中国电信集团有限公司,240e:090c:2100:0000:0000:0000:0000:0000,240e:090c:21ff:ffff:ffff:ffff:ffff:ffff
中国电信集团有限公司,119.96.55.224,119.96.55.239
中国电信集团有限公司,240e:930:8200:3ff::,240e:930:8200:3ff:ffff:ffff:ffff:ffff
中国电信集团有限公司,219.152.187.0,219.152.187.255
中国电信集团有限公司,113.250.85.160,113.250.85.175
中国电信集团有限公司,30.31.11.64,30.31.11.127
中国电信集团有限公司,240e:659:3b0:400::,240e:659:3b0:4ff:ffff:ffff:ffff:ffff
中国电信集团有限公司,113.134.239.0,113.134.239.255
中国电信集团有限公司,113.134.238.128,113.134.238.255
中国电信集团有限公司,240e:0900:0006::,240e:0900:0006::ffff
中国电信集团有限公司,240e:0900:0005::,240e:0900:0005::ffff
中国电信集团有限公司,106.63.101.0,106.63.101.255
中国电信集团有限公司,106.63.100.0,106.63.100.255
中国电信集团有限公司,175.12.105.103,175.12.105.103
中国电信集团有限公司,175.12.103.24,175.12.103.255
中国电信集团有限公司,60.165.235.0,60.165.235.255
中国电信集团有限公司,125.122.86.1,125.122.87.254
中国电信集团有限公司,125.122.12.1,125.122.15.254
中国电信集团有限公司,42.248.142.0,42.248.142.255
中国电信集团有限公司,106.63.102.0,106.63.102.255
中国电信集团有限公司,121.224.96.97,121.224.96.97
中国电信集团有限公司,49.7.230.169,49.7.230.169
中国电信集团有限公司,114.217.18.219,114.217.18.219
中国电信集团有限公司,49.7.228.202,49.7.228.202
中国电信集团有限公司,117.80.186.101,117.80.186.101
中国电信集团有限公司,49.7.222.73,49.7.222.73
中国电信集团有限公司,58.208.84.180,58.208.84.180
中国电信集团有限公司,49.7.212.135,49.7.212.135
中国电信集团有限公司,180.103.112.1,180.103.112.1
中国电信集团有限公司,49.7.215.225,49.7.215.225
中国电信集团有限公司,121.224.74.198,121.224.74.198
中国电信集团有限公司,49.7.202.13,49.7.202.13
中国电信集团有限公司,221.229.221.111,221.229.221.111
中国电信集团有限公司,49.7.222.231,49.7.222.231
中国电信集团有限公司,121.229.36.243,121.229.36.243
中国电信集团有限公司,49.7.183.113,49.7.183.113
中国电信集团有限公司,121.229.45.45,121.229.45.45
中国电信集团有限公司,49.7.179.159,49.7.179.159
中国电信集团有限公司,180.100.216.55,180.100.216.55
中国电信集团有限公司,49.7.206.176,49.7.206.176
中国电信集团有限公司,121.229.55.57,121.229.55.57
中国电信集团有限公司,49.7.213.203,49.7.213.203
中国电信集团有限公司,114.219.56.173,114.219.56.173
中国电信集团有限公司,49.7.227.238,49.7.227.238
中国电信集团有限公司,49.64.85.20,49.64.85.20
中国电信集团有限公司,49.7.135.204,49.7.135.204
中国电信集团有限公司,121.229.4.19,121.229.4.19
中国电信集团有限公司,49.7.216.217,49.7.216.217
中国电信集团有限公司,117.80.234.34,117.80.234.34
中国电信集团有限公司,49.7.228.170,49.7.228.170
中国电信集团有限公司,114.219.56.34,114.219.56.34
中国电信集团有限公司,49.7.228.38,49.7.228.38
中国电信集团有限公司,221.229.217.150,221.229.217.150
中国电信集团有限公司,49.7.221.214,49.7.221.214
中国电信集团有限公司,117.83.110.181,117.83.110.181
中国电信集团有限公司,49.7.210.164,49.7.210.164
中国电信集团有限公司,117.62.22.1,117.62.22.1
中国电信集团有限公司,49.7.133.24,49.7.133.24
中国电信集团有限公司,117.83.83.32,117.83.83.32
中国电信集团有限公司,49.7.226.188,49.7.226.188
中国电信集团有限公司,121.228.250.92,121.228.250.92
中国电信集团有限公司,49.7.134.185,49.7.134.185
中国电信集团有限公司,180.101.21.228,180.101.21.228
中国电信集团有限公司,49.7.224.155,49.7.224.155
中国电信集团有限公司,121.224.6.100,121.224.6.100
中国电信集团有限公司,49.7.204.214,49.7.204.214
中国电信集团有限公司,114.217.35.165,114.217.35.165
中国电信集团有限公司,49.7.231.60,49.7.231.60
中国电信集团有限公司,114.217.149.35,114.217.149.35
中国电信集团有限公司,49.7.179.147,49.7.179.147
中国电信集团有限公司,180.100.198.141,180.100.198.141
中国电信集团有限公司,49.7.212.222,49.7.212.222
中国电信集团有限公司,180.106.80.252,180.106.80.252
中国电信集团有限公司,49.7.214.27,49.7.214.27
中国电信集团有限公司,49.64.86.83,49.64.86.83
中国电信集团有限公司,49.7.208.15,49.7.208.15
中国电信集团有限公司,121.229.29.12,121.229.29.12
中国电信集团有限公司,49.7.226.119,49.7.226.119
中国电信集团有限公司,117.81.233.92,117.81.233.92
中国电信集团有限公司,49.7.230.71,49.7.230.71
中国电信集团有限公司,180.109.253.192,180.109.253.192
中国电信集团有限公司,49.7.212.176,49.7.212.176
中国电信集团有限公司,117.80.151.213,117.80.151.213
中国电信集团有限公司,49.7.203.78,49.7.203.78
中国电信集团有限公司,121.229.49.133,121.229.49.133
中国电信集团有限公司,49.7.230.198,49.7.230.198
中国电信集团有限公司,121.228.6.38,121.228.6.38
中国电信集团有限公司,49.7.218.36,49.7.218.36
中国电信集团有限公司,121.224.76.0,121.224.76.0
中国电信集团有限公司,49.7.212.227,49.7.212.227
中国电信集团有限公司,114.217.48.34,114.217.48.34
中国电信集团有限公司,49.7.207.214,49.7.207.214
中国电信集团有限公司,114.217.15.78,114.217.15.78
中国电信集团有限公司,49.7.225.34,49.7.225.34
中国电信集团有限公司,180.103.103.219,180.103.103.219
中国电信集团有限公司,203.56.192.150,203.56.192.150
中国电信集团有限公司,114.217.27.106,114.217.27.106
中国电信集团有限公司,203.56.110.225,203.56.110.225
中国电信集团有限公司,121.224.77.137,121.224.77.137
中国电信集团有限公司,36.111.65.114,36.111.65.114
中国电信集团有限公司,121.229.60.232,121.229.60.232
中国电信集团有限公司,171.220.232.49,171.220.232.49
中国电信集团有限公司,121.229.60.64,121.229.60.64
中国电信集团有限公司,203.25.209.119,203.25.209.119
中国电信集团有限公司,49.73.43.52,49.73.43.52
中国电信集团有限公司,203.25.209.81,203.25.209.81
中国电信集团有限公司,121.229.40.31,121.229.40.31
中国电信集团有限公司,203.25.223.90,203.25.223.90
中国电信集团有限公司,117.80.118.137,117.80.118.137
中国电信集团有限公司,203.25.208.111,203.25.208.111
中国电信集团有限公司,222.93.39.251,222.93.39.251
中国电信集团有限公司,203.56.185.76,203.56.185.76
中国电信集团有限公司,114.220.176.190,114.220.176.190
中国电信集团有限公司,203.25.210.243,203.25.210.243
中国电信集团有限公司,221.225.83.77,221.225.83.77
中国电信集团有限公司,203.25.212.129,203.25.212.129
中国电信集团有限公司,114.220.176.246,114.220.176.246
中国电信集团有限公司,203.56.1.130,203.56.1.130
中国电信集团有限公司,121.224.6.138,121.224.6.138
中国电信集团有限公司,203.56.12.35,203.56.12.35
中国电信集团有限公司,125.122.39.29,125.122.39.29
中国电信集团有限公司,203.56.121.203,203.56.121.203
中国电信集团有限公司,125.122.154.140,125.122.154.140
中国电信集团有限公司,203.25.211.134,203.25.211.134
中国电信集团有限公司,125.122.157.239,125.122.157.239
中国电信集团有限公司,203.55.196.104,203.55.196.104
中国电信集团有限公司,125.122.38.85,125.122.38.85
中国电信集团有限公司,203.25.215.9,203.25.215.9
中国电信集团有限公司,125.122.39.229,125.122.39.229
中国电信集团有限公司,203.25.221.225,203.25.221.225
中国电信集团有限公司,125.122.38.1,125.122.38.1
中国电信集团有限公司,203.56.1.145,203.56.1.145
中国电信集团有限公司,125.122.157.49,125.122.157.49
中国电信集团有限公司,36.111.67.183,36.111.67.183
中国电信集团有限公司,125.122.39.24,125.122.39.24
中国电信集团有限公司,203.56.201.185,203.56.201.185
中国电信集团有限公司,125.122.157.232,125.122.157.232
中国电信集团有限公司,203.25.220.91,203.25.220.91
中国电信集团有限公司,125.122.39.135,125.122.39.135
中国电信集团有限公司,203.25.212.252,203.25.212.252
中国电信集团有限公司,125.122.154.101,125.122.154.101
中国电信集团有限公司,36.111.69.192,36.111.69.192
中国电信集团有限公司,125.122.157.21,125.122.157.21
中国电信集团有限公司,203.25.216.15,203.25.216.15
中国电信集团有限公司,125.122.39.219,125.122.39.219
中国电信集团有限公司,203.55.224.28,203.55.224.28
中国电信集团有限公司,125.122.39.194,125.122.39.194
中国电信集团有限公司,203.25.208.80,203.25.208.80
中国电信集团有限公司,125.122.155.55,125.122.155.55
中国电信集团有限公司,36.111.69.91,36.111.69.91
中国电信集团有限公司,125.122.156.128,125.122.156.128
中国电信集团有限公司,203.56.12.68,203.56.12.68
中国电信集团有限公司,125.122.157.233,125.122.157.233
中国电信集团有限公司,203.56.192.30,203.56.192.30
中国电信集团有限公司,125.122.38.241,125.122.38.241
中国电信集团有限公司,36.111.71.102,36.111.71.102
中国电信集团有限公司,125.122.156.24,125.122.156.24
中国电信集团有限公司,203.56.12.6,203.56.12.6
中国电信集团有限公司,125.122.154.217,125.122.154.217
中国电信集团有限公司,203.56.187.216,203.56.187.216
中国电信集团有限公司,125.122.155.57,125.122.155.57
中国电信集团有限公司,203.56.110.106,203.56.110.106
中国电信集团有限公司,125.122.38.169,125.122.38.169
中国电信集团有限公司,203.56.185.176,203.56.185.176
中国电信集团有限公司,125.122.37.173,125.122.37.173
中国电信集团有限公司,203.25.220.38,203.25.220.38
中国电信集团有限公司,125.122.38.2,125.122.38.2
中国电信集团有限公司,203.25.209.124,203.25.209.124
中国电信集团有限公司,125.122.157.153,125.122.157.153
中国电信集团有限公司,203.55.224.157,203.55.224.157
中国电信集团有限公司,125.122.155.98,125.122.155.98
中国电信集团有限公司,203.56.185.216,203.56.185.216
中国电信集团有限公司,125.122.39.26,125.122.39.26
中国电信集团有限公司,36.111.68.167,36.111.68.167
中国电信集团有限公司,125.122.39.23,125.122.39.23
中国电信集团有限公司,36.111.69.10,36.111.69.10
中国电信集团有限公司,125.122.155.199,125.122.155.199
中国电信集团有限公司,36.111.67.154,36.111.67.154
中国电信集团有限公司,125.122.157.238,125.122.157.238
中国电信集团有限公司,203.25.220.101,203.25.220.101
中国电信集团有限公司,125.122.156.211,125.122.156.211
中国电信集团有限公司,203.25.208.233,203.25.208.233
中国电信集团有限公司,125.122.39.27,125.122.39.27
中国电信集团有限公司,171.220.232.211,171.220.232.211
中国电信集团有限公司,125.122.39.136,125.122.39.136
中国电信集团有限公司,14.22.78.92,14.22.78.92
中国电信集团有限公司,125.122.157.234,125.122.157.234
中国电信集团有限公司,14.22.73.239,14.22.73.239
中国电信集团有限公司,125.122.39.22,125.122.39.22
中国电信集团有限公司,14.22.85.165,14.22.85.165
中国电信集团有限公司,125.122.39.137,125.122.39.137
中国电信集团有限公司,14.22.73.240,14.22.73.240
中国电信集团有限公司,125.122.39.35,125.122.39.35
中国电信集团有限公司,14.22.82.16,14.22.82.16
中国电信集团有限公司,125.122.39.28,125.122.39.28
中国电信集团有限公司,14.22.81.244,14.22.81.244
中国电信集团有限公司,125.122.155.56,125.122.155.56
中国电信集团有限公司,14.22.87.50,14.22.87.50
中国电信集团有限公司,125.122.156.185,125.122.156.185
中国电信集团有限公司,14.22.87.148,14.22.87.148
中国电信集团有限公司,125.122.157.231,125.122.157.231
中国电信集团有限公司,14.22.78.39,14.22.78.39
中国电信集团有限公司,117.88.69.155,117.88.69.155
中国电信集团有限公司,14.22.86.179,14.22.86.179
中国电信集团有限公司,117.89.85.45,117.89.85.45
中国电信集团有限公司,14.22.85.216,14.22.85.216
中国电信集团有限公司,121.229.107.195,121.229.107.195
中国电信集团有限公司,14.22.78.18,14.22.78.18
中国电信集团有限公司,117.88.94.77,117.88.94.77
中国电信集团有限公司,14.22.73.161,14.22.73.161
中国电信集团有限公司,218.91.114.250,218.91.114.250
中国电信集团有限公司,14.22.73.118,14.22.73.118
中国电信集团有限公司,117.89.254.22,117.89.254.22
中国电信集团有限公司,14.22.75.64,14.22.75.64
中国电信集团有限公司,221.229.107.238,221.229.107.238
中国电信集团有限公司,14.22.72.90,14.22.72.90
中国电信集团有限公司,121.229.107.178,121.229.107.178
中国电信集团有限公司,14.22.86.122,14.22.86.122
中国电信集团有限公司,121.229.168.199,121.229.168.199
中国电信集团有限公司,14.22.81.230,14.22.81.230
中国电信集团有限公司,121.229.168.236,121.229.168.236
中国电信集团有限公司,14.22.73.241,14.22.73.241
中国电信集团有限公司,117.89.250.181,117.89.250.181
中国电信集团有限公司,14.22.83.35,14.22.83.35
中国电信集团有限公司,117.89.29.194,117.89.29.194
中国电信集团有限公司,14.22.89.0,14.22.89.0
中国电信集团有限公司,221.229.0.172,221.229.0.172
中国电信集团有限公司,14.22.75.67,14.22.75.67
中国电信集团有限公司,117.89.29.95,117.89.29.95
中国电信集团有限公司,14.22.74.44,14.22.74.44
中国电信集团有限公司,221.229.107.203,221.229.107.203
中国电信集团有限公司,14.22.88.83,14.22.88.83
中国电信集团有限公司,121.229.175.122,121.229.175.122
中国电信集团有限公司,14.22.75.226,14.22.75.226
中国电信集团有限公司,218.91.114.218,218.91.114.218
中国电信集团有限公司,14.22.75.215,14.22.75.215
中国电信集团有限公司,117.89.254.59,117.89.254.59
中国电信集团有限公司,118.253.180.38,118.253.180.38
中国电信集团有限公司,118.253.182.153,118.253.182.153
中国电信集团有限公司,118.253.182.187,118.253.182.187
中国电信集团有限公司,182.43.17.244,182.43.17.244
